tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
17th Lok Sabha,Uttar Pradesh,Deoria,RAMAPATI RAM TRIPATHI,Bharatiya Janata Party,580644,BINOD KUMAR JAISWAL,Bahujan Samaj Party,330713,1015363,249931,24.61,safe
17th Lok Sabha,Uttar Pradesh,Dhaurahra,REKHA VERMA,Bharatiya Janata Party,512905,ARSHAD ILIYAS SIDDIQUI,Bahujan Samaj Party,352294,1063840,160611,15.1,safe
17th Lok Sabha,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,492253,AFTAB ALAM,Bahujan Samaj Party,386932,985269,105321,10.69,competitive
17th Lok Sabha,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),Bharatiya Janata Party,545348,Ku. Devendra Singh Yadav,Samajwadi Party,422678,999607,122670,12.27,competitive
17th Lok Sabha,Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,Bharatiya Janata Party,522119,KAMLESH KUMAR,Samajwadi Party,457682,1027815,64437,6.27,competitive
17th Lok Sabha,Uttar Pradesh,Faizabad,LALLU SINGH,Bharatiya Janata Party,529021,ANAND SEN,Samajwadi Party,463544,1087121,65477,6.02,competitive
17th Lok Sabha,Uttar Pradesh,Farrukhabad,Mukesh Rajput,Bharatiya Janata Party,569880,Manoj Agarwal,Bahujan Samaj Party,348178,1002953,221702,22.1,safe
17th Lok Sabha,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,Bharatiya Janata Party,566040,SUKHDEV PRASAD VERMA,Bahujan Samaj Party,367835,1043655,198205,18.99,safe
17th Lok Sabha,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,Bharatiya Janata Party,667147,RAJ BABBAR,Indian National Congress,172082,1037151,495065,47.73,safe
17th Lok Sabha,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,Bharatiya Janata Party,495819,Akshay Yadav,Samajwadi Party,467038,1075866,28781,2.68,marginal
17th Lok Sabha,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,Bharatiya Janata Party,830812,SATVEER,Bahujan Samaj Party,493890,1392952,336922,24.19,safe
17th Lok Sabha,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,Bharatiya Janata Party,944503,Suresh Bansal,Samajwadi Party,443003,1524456,501500,32.9,safe
17th Lok Sabha,Uttar Pradesh,Ghazipur,AFZAL ANSARI,Bahujan Samaj Party,566082,MANOJ SINHA,Bharatiya Janata Party,446690,1105627,119392,10.8,competitive
17th Lok Sabha,Uttar Pradesh,Ghosi,ATUL KUMAR SINGH,Bahujan Samaj Party,573829,HARINARAYAN,Bharatiya Janata Party,451261,1140781,122568,10.74,competitive
17th Lok Sabha,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,Bharatiya Janata Party,508190,VINOD KUMAR ALIAS PANDIT SINGH,Samajwadi Party,341830,923816,166360,18.01,safe
17th Lok Sabha,Uttar Pradesh,Gorakhpur,Ravindra Shyamnarayan Shukla alias Ravi Kishan,Bharatiya Janata Party,717122,Rambhual Nishad,Samajwadi Party,415458,1184635,301664,25.46,safe
17th Lok Sabha,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,575122,DILIP KUMAR SINGH,Bahujan Samaj Party,326470,1089778,248652,22.82,safe
17th Lok Sabha,Uttar Pradesh,Hardoi,Jai Prakash,Bharatiya Janata Party,568143,Usha Verma,Samajwadi Party,435669,1057558,132474,12.53,competitive
17th Lok Sabha,Uttar Pradesh,Hathras,RAJVIR DILER,Bharatiya Janata Party,684299,RAMJI LAL SUMAN,Samajwadi Party,424091,1150294,260208,22.62,safe
17th Lok Sabha,Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,581763,AJAY SINGH (PANKAJ),Bahujan Samaj Party,423386,1129955,158377,14.02,competitive
17th Lok Sabha,Uttar Pradesh,Jaunpur,SHYAM SINGH YADAV,Bahujan Samaj Party,521128,KRISHNA PRATAP SINGH K.P.,Bharatiya Janata Party,440192,1040652,80936,7.78,competitive
17th Lok Sabha,Uttar Pradesh,Jhansi,Anurag Sharma,Bharatiya Janata Party,809272,Shyam Sundar Singh,Samajwadi Party,443589,1380890,365683,26.48,safe
17th Lok Sabha,Uttar Pradesh,Kairana,Pradeep Kumar,Bharatiya Janata Party,566961,Tabassum Begum,Samajwadi Party,474801,1124047,92160,8.2,competitive
17th Lok Sabha,Uttar Pradesh,Kaiserganj,Brijbhusan Sharan Singh,Bharatiya Janata Party,581358,Chandradev Ram Yadav,Bahujan Samaj Party,319757,981400,261601,26.66,safe
17th Lok Sabha,Uttar Pradesh,Kannauj,SUBRAT PATHAK,Bharatiya Janata Party,563087,DIMPLE YADAV,Samajwadi Party,550734,1140496,12353,1.08,marginal
17th Lok Sabha,Uttar Pradesh,Kanpur,Satyadev Pachauri,Bharatiya Janata Party,468937,Sriprakash Jaiswal,Indian National Congress,313003,842994,155934,18.5,safe
17th Lok Sabha,Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,Bharatiya Janata Party,383009,INDRAJEET SAROJ,Samajwadi Party,344287,974438,38722,3.97,marginal
17th Lok Sabha,Uttar Pradesh,Kheri,Ajay Kumar,Bharatiya Janata Party,609589,Dr. Purvi Verma,Samajwadi Party,390782,1136660,218807,19.25,safe
17th Lok Sabha,Uttar Pradesh,Kushi Nagar,VIJAY KUMAR DUBEY,Bharatiya Janata Party,597039,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,Samajwadi Party,259479,1053117,337560,32.05,safe
17th Lok Sabha,Uttar Pradesh,Lalganj,Sangeeta Azad,Bahujan Samaj Party,518820,Neelam Sonker,Bharatiya Janata Party,357223,960568,161597,16.82,safe
17th Lok Sabha,Uttar Pradesh,Lucknow,Rajnath Singh,Bharatiya Janata Party,633026,Poonam Shatrughan Sinha,Samajwadi Party,285724,1116445,347302,31.11,safe
17th Lok Sabha,Uttar Pradesh,Machhlishahr,Bholanath (B.P. Saroj),Bharatiya Janata Party,488397,Tribhuvan Ram (T.Ram),Bahujan Samaj Party,488216,1034925,181,0.02,marginal
17th Lok Sabha,Uttar Pradesh,Maharajganj,PANKAJ CHOUDHARY,Bharatiya Janata Party,726349,AKHILESH,Samajwadi Party,385925,1226916,340424,27.75,safe
17th Lok Sabha,Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,Samajwadi Party,524926,PREM SINGH SHAKYA,Bharatiya Janata Party,430537,976518,94389,9.67,competitive
17th Lok Sabha,Uttar Pradesh,Mathura,HEMA MALINI,Bharatiya Janata Party,671293,KUNWAR NARENDRA SINGH,Rashtriya Lok Dal,377822,1102731,293471,26.61,safe
17th Lok Sabha,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,Bharatiya Janata Party,586184,HAJI MOHAMMAD YAQOOB,Bahujan Samaj Party,581455,1216413,4729,0.39,marginal
17th Lok Sabha,Uttar Pradesh,Mirzapur,Anupriya Singh Patel,Apna Dal (Soneylal),591564,Ramcharitra Nishad,Samajwadi Party,359556,1108965,232008,20.92,safe
17th Lok Sabha,Uttar Pradesh,Misrikh,Ashok Kumar Rawat,Bharatiya Janata Party,534429,Dr Neelu Satyarthi,Bahujan Samaj Party,433757,1026668,100672,9.81,competitive
17th Lok Sabha,Uttar Pradesh,Mohanlalganj,Kaushal Kishore,Bharatiya Janata Party,629748,C. L. Verma,Bahujan Samaj Party,539519,1269040,90229,7.11,competitive
17th Lok Sabha,Uttar Pradesh,Moradabad,Dr. S.T. HASAN,Samajwadi Party,649416,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,551538,1282206,97878,7.63,competitive
17th Lok Sabha,Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,Bharatiya Janata Party,573780,Ajit Singh,Rashtriya Lok Dal,567254,1160071,6526,0.56,marginal
17th Lok Sabha,Uttar Pradesh,Nagina,GIRISH CHANDRA,Bahujan Samaj Party,568378,DR. YASHWANT SINGH,Bharatiya Janata Party,401546,1009456,166832,16.53,safe
17th Lok Sabha,Uttar Pradesh,Phulpur,Keshari Devi Patel,Bharatiya Janata Party,544701,Pandhari Yadav,Samajwadi Party,372733,978236,171968,17.58,safe
17th Lok Sabha,Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,Bharatiya Janata Party,704549,Hemraj Verma,Samajwadi Party,448922,1186589,255627,21.54,safe
17th Lok Sabha,Uttar Pradesh,Pratapgarh,SANGAM LAL GUPTA,Bharatiya Janata Party,436291,ASHOK TRIPATHI,Bahujan Samaj Party,318539,914665,117752,12.87,competitive
17th Lok Sabha,Uttar Pradesh,Rae Bareli,SONIA GANDHI,Indian National Congress,534918,DINESH PRATAP SINGH,Bharatiya Janata Party,367740,958556,167178,17.44,safe
17th Lok Sabha,Uttar Pradesh,Rampur,Mohammad Azam Khan,Samajwadi Party,559177,Jayaprada Nahata,Bharatiya Janata Party,449180,1060921,109997,10.37,competitive
17th Lok Sabha,Uttar Pradesh,Robertsganj,PAKAURI LAL KOL,Apna Dal (Soneylal),447914,BHAI LAL,Samajwadi Party,393578,988287,54336,5.5,competitive
17th Lok Sabha,Uttar Pradesh,Saharanpur,HAJI FAZLUR REHMAN,Bahujan Samaj Party,514139,RAGHAV LAKHANPAL,Bharatiya Janata Party,491722,1231746,22417,1.82,marginal
17th Lok Sabha,Uttar Pradesh,Salempur,RAVINDER,Bharatiya Janata Party,467241,R S KUSHWAHA,Bahujan Samaj Party,354764,921066,112477,12.21,competitive
17th Lok Sabha,Uttar Pradesh,Sambhal,DR. SHAFIQUR REHMAN BARQ,Samajwadi Party,658006,PARAMESHVAR LAL SAINI,Bharatiya Janata Party,483180,1183469,174826,14.77,competitive
17th Lok Sabha,Uttar Pradesh,Sant Kabir Nagar,PRAVEEN KUMAR NISHAD,Bharatiya Janata Party,467543,BHEESHMA SHANKAR,Bahujan Samaj Party,431794,1063390,35749,3.36,marginal
17th Lok Sabha,Uttar Pradesh,Shahjahanpur,Arun Kumar Sagar,Bharatiya Janata Party,688990,Amar Chandra Jauhar,Bahujan Samaj Party,420572,1186157,268418,22.63,safe
17th Lok Sabha,Uttar Pradesh,Shrawasti,RAM SHIROMANI,Bahujan Samaj Party,441771,DADDAN MISHRA,Bharatiya Janata Party,436451,997007,5320,0.53,marginal
17th Lok Sabha,Uttar Pradesh,Sitapur,Rajesh Verma,Bharatiya Janata Party,514528,Nakul Dubey,Bahujan Samaj Party,413695,1064521,100833,9.47,competitive
17th Lok Sabha,Uttar Pradesh,Sultanpur,MANEKA SANJAI GANDHI,Bharatiya Janata Party,459196,"CHANDRA BHADRA SINGH ""SSONU""",Bahujan Samaj Party,444670,1000316,14526,1.45,marginal
17th Lok Sabha,Uttar Pradesh,Unnao,Swami Sakshi Ji Maharaj,Bharatiya Janata Party,703507,Arun Shanker Shukla,Samajwadi Party,302551,1237076,400956,32.41,safe
17th Lok Sabha,Uttar Pradesh,Varanasi,NARENDRA MODI,Bharatiya Janata Party,674664,SHALINI YADAV,Samajwadi Party,195159,1060476,479505,45.22,safe
17th Lok Sabha,Uttarakhand,Almora,Ajay Tamta,Bharatiya Janata Party,444651,Pradeep Tamta,Indian National Congress,211665,694472,232986,33.55,safe
17th Lok Sabha,Uttarakhand,Garhwal,Tirath Singh Rawat,Bharatiya Janata Party,506980,Manish Khanduri,Indian National Congress,204311,742784,302669,40.75,safe
17th Lok Sabha,Uttarakhand,Hardwar,Ramesh Pokhriyal 'Nishank',Bharatiya Janata Party,665674,Ambrish Kumar,Indian National Congress,406945,1271030,258729,20.36,safe
17th Lok Sabha,Uttarakhand,Nainital-udhamsingh Nagar,Ajay Bhatt,Bharatiya Janata Party,772195,Harish Rawat,Indian National Congress,433099,1258570,339096,26.94,safe
17th Lok Sabha,Uttarakhand,Tehri Garhwal,MALA RAJYA LAXMI SHAH,Bharatiya Janata Party,565333,PRITAM SINGH,Indian National Congress,264747,876069,300586,34.31,safe
17th Lok Sabha,West Bengal,Alipurduars,JOHN BARLA,Bharatiya Janata Party,750804,DASRATH TIRKEY,All India Trinamool Congress,506815,1380217,243989,17.68,safe
17th Lok Sabha,West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),All India Trinamool Congress,649929,TAPAN KUMAR RAY,Bharatiya Janata Party,648787,1471981,1142,0.08,marginal
17th Lok Sabha,West Bengal,Asansol,BABUL SUPRIYO,Bharatiya Janata Party,633378,MOON MOON SEN,All India Trinamool Congress,435741,1238135,197637,15.96,safe
17th Lok Sabha,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,Indian National Congress,591106,APURBA SARKAR (DAVID),All India Trinamool Congress,510410,1299997,80696,6.21,competitive
17th Lok Sabha,West Bengal,Balurghat,Sukanta Majumdar,Bharatiya Janata Party,539317,Arpita Ghosh,All India Trinamool Congress,506024,1197849,33293,2.78,marginal
17th Lok Sabha,West Bengal,Bangaon,SHANTANU THAKUR,Bharatiya Janata Party,687622,MAMATA THAKUR,All India Trinamool Congress,576028,1407758,111594,7.93,competitive
17th Lok Sabha,West Bengal,Bankura,DR. SUBHAS SARKAR,Bharatiya Janata Party,675319,SUBRATA MUKHERJEE,All India Trinamool Congress,500986,1371855,174333,12.71,competitive
17th Lok Sabha,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,648084,Mrinal Kanti Debnath,Bharatiya Janata Party,538101,1394766,109983,7.89,competitive
17th Lok Sabha,West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,Bharatiya Janata Party,598376,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress,595937,1433007,2439,0.17,marginal
17th Lok Sabha,West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,All India Trinamool Congress,640834,PARESH CHANDRA DAS,Bharatiya Janata Party,551523,1439286,89311,6.21,competitive
17th Lok Sabha,West Bengal,Barrackpore,ARJUN SINGH,Bharatiya Janata Party,472994,DINESH TRIVEDI,All India Trinamool Congress,458137,1104517,14857,1.35,marginal
17th Lok Sabha,West Bengal,Basirhat,Nusrat Jahan Ruhi,All India Trinamool Congress,782078,Sayantan Basu,Bharatiya Janata Party,431709,1433339,350369,24.44,safe
17th Lok Sabha,West Bengal,Birbhum,SATABDI ROY,All India Trinamool Congress,654077,DUDH KUMAR MONDAL,Bharatiya Janata Party,565153,1449423,88924,6.14,competitive
17th Lok Sabha,West Bengal,Bishnupur,KHAN SAUMITRA,Bharatiya Janata Party,657019,SHYAMAL SANTRA,All India Trinamool Congress,578972,1420648,78047,5.49,competitive
17th Lok Sabha,West Bengal,Bolpur,ASIT KUMAR MAL,All India Trinamool Congress,699171,DAS RAMPRASAD,Bharatiya Janata Party,592769,1461269,106402,7.28,competitive
17th Lok Sabha,West Bengal,Cooch behar,NISITH PRAMANIK,Bharatiya Janata Party,731594,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,677363,1524683,54231,3.56,marginal
17th Lok Sabha,West Bengal,Darjeeling,RAJU BISTA,Bharatiya Janata Party,750067,AMAR SINGH RAI,All India Trinamool Congress,336624,1267270,413443,32.62,safe
17th Lok Sabha,West Bengal,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,791127,NILANJAN ROY,Bharatiya Janata Party,470533,1409002,320594,22.75,safe
17th Lok Sabha,West Bengal,Dum dum,SOUGATA RAY,All India Trinamool Congress,512062,SAMIK BHATTACHARYA,Bharatiya Janata Party,459060,1204660,53002,4.4,marginal
17th Lok Sabha,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,717959,BHARATI GHOSH,Bharatiya Janata Party,609986,1488818,107973,7.25,competitive
17th Lok Sabha,West Bengal,Hooghly,LOCKET CHATTERJEE,Bharatiya Janata Party,671448,DR. RATNA DE (NAG),All India Trinamool Congress,598086,1457842,73362,5.03,competitive
17th Lok Sabha,West Bengal,Howrah,Prasun Banerjee,All India Trinamool Congress,576711,Rantidev Sengupta,Bharatiya Janata Party,473016,1222293,103695,8.48,competitive
17th Lok Sabha,West Bengal,Jadavpur,MIMI CHAKRABORTY,All India Trinamool Congress,688472,ANUPAM HAZRA,Bharatiya Janata Party,393233,1436894,295239,20.55,safe
17th Lok Sabha,West Bengal,Jalpaiguri,Dr. JAYANTA KUMAR ROY,Bharatiya Janata Party,760145,BIJOY CHANDRA BARMAN,All India Trinamool Congress,576141,1500922,184004,12.26,competitive
17th Lok Sabha,West Bengal,Jangipur,KHALILUR RAHAMAN,All India Trinamool Congress,562838,MAFUJA KHATUN,Bharatiya Janata Party,317056,1304504,245782,18.84,safe
17th Lok Sabha,West Bengal,Jhargram,Kunar Hembram,Bharatiya Janata Party,626583,Birbaha Saren,All India Trinamool Congress,614816,1406214,11767,0.84,marginal
17th Lok Sabha,West Bengal,Joynagar,PRATIMA MONDAL,All India Trinamool Congress,761202,DR. ASHOK KANDARY,Bharatiya Janata Party,444427,1356102,316775,23.36,safe
17th Lok Sabha,West Bengal,Kanthi,Adhikari Sisir,All India Trinamool Congress,711872,Dr. Debasish Samanta,Bharatiya Janata Party,600204,1424247,111668,7.84,competitive
17th Lok Sabha,West Bengal,Kolkata Dakshin,Mala Roy,All India Trinamool Congress,573119,Chandra Kumar Bose,Bharatiya Janata Party,417927,1206645,155192,12.86,competitive
17th Lok Sabha,West Bengal,Kolkata Uttar,BANDYOPADHYAY SUDIP,All India Trinamool Congress,474891,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,347796,950613,127095,13.37,competitive
17th Lok Sabha,West Bengal,Krishnanagar,MAHUA MOITRA,All India Trinamool Congress,614872,KALYAN CHAUBEY,Bharatiya Janata Party,551654,1366443,63218,4.63,marginal
17th Lok Sabha,West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY (DALU),Indian National Congress,444270,SREERUPA MITRA CHAUDHURY,Bharatiya Janata Party,436048,1279202,8222,0.64,marginal
17th Lok Sabha,West Bengal,Maldaha Uttar,KHAGEN MURMU,Bharatiya Janata Party,509524,MAUSAM NOOR,All India Trinamool Congress,425236,1354706,84288,6.22,competitive
17th Lok Sabha,West Bengal,Mathurapur,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,726828,SHYAMAPRASAD HALDER,Bharatiya Janata Party,522854,1401953,203974,14.55,competitive
17th Lok Sabha,West Bengal,Medinipur,Dilip Ghosh,Bharatiya Janata Party,685433,Manas Ranjan Bhunia,All India Trinamool Congress,596481,1409815,88952,6.31,competitive
17th Lok Sabha,West Bengal,Murshidabad,ABU TAHER KHAN,All India Trinamool Congress,604346,"ABU HENA, S/O - LATE ABDUS SATTAR",Indian National Congress,377929,1453755,226417,15.57,safe
17th Lok Sabha,West Bengal,Purulia,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,668107,Dr. MRIGANKA MAHATO,All India Trinamool Congress,463375,1355236,204732,15.11,safe
17th Lok Sabha,West Bengal,Raiganj,DEBASREE CHAUDHURI,Bharatiya Janata Party,511652,AGARWAL KANAIALAL,All India Trinamool Congress,451078,1277109,60574,4.74,marginal
17th Lok Sabha,West Bengal,Ranaghat,JAGANNATH SARKAR,Bharatiya Janata Party,783253,RUPALI BISWAS,All India Trinamool Congress,549825,1484035,233428,15.73,safe
17th Lok Sabha,West Bengal,Srerampur,KALYAN BANERJEE,All India Trinamool Congress,637707,DEBJIT SARKAR,Bharatiya Janata Party,539171,1401705,98536,7.03,competitive
17th Lok Sabha,West Bengal,Tamluk,Adhikari Dibyendu,All India Trinamool Congress,724433,Sidharthashankar Naskar,Bharatiya Janata Party,534268,1446499,190165,13.15,competitive
17th Lok Sabha,West Bengal,Uluberia,SAJDA AHMED,All India Trinamool Congress,694945,JOY BANERJEE,Bharatiya Janata Party,479586,1311099,215359,16.43,safe
